Semana-A¤o;C.Ofi;Oficina Venta;Cod.Cliente Winter;Nombre Comercial;CodigoInterno;Canal;Cuota Anual;Cuota Mes;Venta Mes;Dif. Mes;Cuota Cum;Venta Cum;Dif. Cum;
19-2026;2866;LORCA;401180428;HOTEL VERA PLAYA CLUB;70066;HELADO;14882,59;444,53;0,00;444,53;1033,14;1365,16;-332,02;
19-2026;2866;LORCA;401350887;CAFETERIA DULCE LUNA;10021;HELADO;2065,16;58,39;0,00;58,39;1247,98;0,00;1247,98;
19-2026;2866;LORCA;401221715;CAFETERIA PALMITO;35001;HELADO;1811,58;93,28;0,00;93,28;179,19;518,33;-339,14;
19-2026;2866;LORCA;401412463;EUROPIZZA ADRA;32885;HELADO;1148,06;21,41;0,00;21,41;163,76;0,00;163,76;
19-2026;2866;LORCA;401419107;RESTAURANTE AMORE;10107;HELADO;1000,00;25,82;0,00;25,82;197,30;187,92;9,38;
19-2026;2866;LORCA;400970112;CAMPING SIERRA ESPU¥A;1697;HELADO;5102,92;238,97;0,00;238,97;1234,98;1464,72;-229,74;
19-2026;2866;LORCA;401427611;ALMERIA NICO III SALON;39266;HELADO;900,00;23,22;0,00;23,22;0,00;0,00;0,00;
19-2026;2866;LORCA;401427638;SAN ISIDRO TREBOL SALON;39267;HELADO;900,00;23,22;0,00;23,22;0,00;0,00;0,00;
19-2026;2866;LORCA;401309250;CAFETERIA CARPEDIEM;10317;HELADO;597,41;143,38;0,00;143,38;0,00;310,84;-310,84;
19-2026;2866;LORCA;400930248;HELADERIA VENECIA;10444;HELADO;4971,68;199,86;-23,88;223,74;2024,80;527,38;1497,42;
19-2026;2866;LORCA;401180267;BUR POLLO HAMBURGUESERIA;30611;HELADO;1961,95;12,57;0,00;12,57;898,04;861,20;36,84;
19-2026;2866;LORCA;401360685;EUROCIEN;30638;HELADO;624,56;21,72;-61,08;82,80;420,88;175,32;245,56;
19-2026;2866;LORCA;401422870;EL BODEGON;30462;HELADO;8000,00;206,40;0,00;206,40;1179,20;958,13;221,07;
19-2026;2866;LORCA;401004541;SALON FESTIN;1701;HELADO;1113,84;103,03;0,00;103,03;363,70;103,00;260,70;
19-2026;2866;LORCA;401416021;BODEGA LOS SANCHEZ;30203;HELADO;1386,75;30,88;0,00;30,88;236,16;174,80;61,36;
19-2026;2866;LORCA;401401863;BAR LA PAMPA;8080;HELADO;3702,40;80,01;3,40;76,61;1901,00;1728,92;172,08;
