C.Ofi;Oficina Venta;C.Prev;Preventa;C¢d.Cliente;Nombre Comercial;C¢d.Interno;C¢d.Cad;Cadena;Agrupaci¢n;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Total Medios;Armarios;Conservadoras;Vitrinas;Otros;
2866;LORCA;16;FRANCISCO JOSE ASENSIO ;866016301;CAFETERIA BAR LUCERO;8539;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;28/11/2006;06/05/2026;1;0;1;0;0;
2866;LORCA;16;FRANCISCO JOSE ASENSIO ;866015127;CAFETERIA PUERTO REY;5127;;;Bares y Cafeter¡as;BAR Y CAFETERIA;23/01/2007;08/04/2026;1;0;1;0;0;
2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401427583;HOTEL MEXICO;10461;000007529;COPERAMA ASOCIADOS;Hoteles y Hostales;HOTELES Y HOSTALES;04/05/2026;13/05/2026;3;1;2;0;0;
2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401426214;CHIRINGUITO SAMOA SURF;10440;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;01/04/2026;07/05/2026;1;0;1;0;0;
2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401420864;BAR LA CURVA;32895;;;Bares y Cafeter¡as;BAR Y CAFETERIA;16/02/2026;12/05/2026;2;1;1;0;0;
2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401417333;FRAGUERO CAFE Y TAPAS;32160;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/12/2025;05/05/2026;1;0;1;0;0;
2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401414388;TIENDA ALPAS 24 HORAS;10102;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;01/10/2025;09/05/2026;1;0;1;0;0;
2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401413887;OBRADOR DULCE LUNA;10100;;;Conveniencia;PASTELERIAS/PANADERIAS/FRUTERI;15/09/2025;13/05/2026;1;0;0;1;0;
2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401410447;AL GAJO;10024;;;Bares y Cafeter¡as;BAR Y CAFETERIA;16/06/2025;16/08/2025;1;0;1;0;0;
2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401408494;CORA CAFE;10020;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/05/2025;28/03/2026;2;0;1;1;0;
2866;LORCA;97;ALMACEN ALMACEN;866012189;FLOR SURESTE BAR;7731;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/01/1998;04/05/2026;2;0;2;0;0;
2866;LORCA;72;JOSE MIGUEL  ACACIO;401349494;RESTAURANTE MAR AZUL;32683;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/03/2023;24/04/2026;2;0;2;0;0;
2866;LORCA;72;JOSE MIGUEL  ACACIO;401348758;PUB TUDELA;32506;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/02/2023;03/04/2025;1;0;1;0;0;
2866;LORCA;72;JOSE MIGUEL  ACACIO;401348196;ENDULZATE;32501;000017996;ENDULZATE;Conveniencia;PASTELERIAS/PANADERIAS/FRUTERI;01/02/2023;22/04/2026;1;0;1;0;0;
2866;LORCA;72;JOSE MIGUEL  ACACIO;401340726;CAFETERIA TEHEN;32587;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/10/2022;07/08/2025;2;0;2;0;0;
2866;LORCA;72;JOSE MIGUEL  ACACIO;401180622;HELADERIA CAF.MAS Q CAFE@;30887;000019689;LUCA MAS QUE CAFE;Ocio;HELADERIAS/HORCHATERIAS;02/02/2012;12/05/2026;6;0;5;1;0;
