Periodo Hasta AA-Actual;C.Ofi;Oficina Venta;C.Prev;Preventa;Cod.Cliente;Nombre Comercial;Cod.Interno;Cod.Cad;Cadena;Agrupacion;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Cuo.Anual Helados;Vta.Cum Helados;Cuo.Cum Helados;Desviaci¢n _;Desviaci¢n %;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401427882;PAUSE COFFE COCKTAIL;32925;;;Bares y Cafeter¡as;BAR Y CAFETERIA;04/05/2026;;17000;0;439;-439;-100;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;401427876;CAFETERERIA LA MURALLA;10460;;;Bares y Cafeter¡as;BAR Y CAFETERIA;04/05/2026;;3000;0;77;-77;-100;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401427720;FRUTERIA COSTA AFRICA;31964;;;Varios;VARIOS/OTROS NO CLASIFICABLES;04/05/2026;13/05/2026;4000;0;103;-103;-100;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401427588;HELADERIA CAFETERIA BORON;10458;;;Ocio;HELADERIAS/HORCHATERIAS;04/05/2026;;15000;0;524;-524;-100;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401427451;CAFETERIA SABORA;7296;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;27/04/2026;30/04/2026;1000;0;137;-137;-100;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401427450;M-WOK ROQUETAS;32922;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;28/04/2026;12/05/2026;20000;773;2740;-1968;-72;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401427364;CAFETERIA HOSPITAL PONIEN;39572;B6330;ARAMARK CAPILAR;Bares y Cafeter¡as;BAR Y CAFETERIA;29/04/2026;12/05/2026;2000;0;274;-274;-100;
05-2025 -> 05-2026;2866;LORCA;83;JOSE ANTONIO SOLER;401427086;EL MUNDO DE LAS CHUCHES;32920;;;Impulso Tradicional;TIENDAS DE CHUCHERIAS/FRUTOS S;27/04/2026;28/04/2026;6500;335;891;-555;-62;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401427065;CHILLI TACO;10448;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;27/04/2026;28/04/2026;1000;41;137;-96;-70;
05-2025 -> 05-2026;2866;LORCA;83;JOSE ANTONIO SOLER;401426861;RTE.VENTA EL COMPADRE;32914;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;23/04/2026;;2500;0;343;-343;-100;
05-2025 -> 05-2026;2866;LORCA;83;JOSE ANTONIO SOLER;401426786;MENOS MAL 25 HORAS;32917;;;Varios;VARIOS/OTROS NO CLASIFICABLES;22/04/2026;;1000;0;137;-137;-100;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401426702;BOMBONI SWEET BAKERY;10393;;;Bares y Cafeter¡as;BAR Y CAFETERIA;22/04/2026;;1000;0;137;-137;-100;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401426508;EL TEMPLO;10441;;;Bares y Cafeter¡as;BAR Y CAFETERIA;20/04/2026;;15000;0;2055;-2055;-100;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401426381;CAFETERIA MAREA;10339;;;Bares y Cafeter¡as;BAR Y CAFETERIA;13/04/2026;24/04/2026;1000;3;137;-134;-98;
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401426048;LA HUERTA DE MARUJA;40622;;;Bares y Cafeter¡as;BAR Y CAFETERIA;13/04/2026;17/04/2026;1000;72;137;-65;-48;
05-2025 -> 05-2026;2866;LORCA;83;JOSE ANTONIO SOLER;401426046;HELADERIA SWEET MARTINA;32913;;;Ocio;HELADERIAS/HORCHATERIAS;13/04/2026;;20000;0;3224;-3224;-100;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401426031;BAR MUNA;10438;;;Bares y Cafeter¡as;BAR Y CAFETERIA;13/04/2026;30/04/2026;6500;695;891;-195;-22;
