Periodo Hasta AA-Actual;C.Ofi;Oficina Venta;C.Prev;Preventa;Cod.Cliente;Nombre Comercial;CodigoInterno;Cod.Cad;Cadena;Agrupacion;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Ref.Cum Actual;Ref.Cum Anterior;Desviacion;Ref.Tot Anterior;Ref.SinCompra 1;Ref.SinCompra 2;Ref.SinCompra 3;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401351489;AL-JAZAMA;32536;;;Varios;VARIOS/OTROS NO CLASIFICABLES;01/03/2023;07/05/2026;20;21;-1;21;PIRULO SANDIA N4 36x73ML;PIRULO MANGO 36x70ML;NUII CRM AUSTRAL.N4 20X90;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;401078346;RESTAURANTE EL VALLE;3245;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;28/03/2014;06/05/2026;0;4;-4;4;PIR COOL FRESA N3 24X99ML;PIRL MIKOLAPIZ N4 20x88ML;SMARTIES PUSHUP 20x85MLN7;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;866016165;EL ARCO, BAR;6165;8660147;EL BERRO;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/01/1998;07/05/2026;35;36;-1;36;PIRULO FRUIT JOY 24X65ML;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401400564;EL ARTE ALMENARA;9634;000018993;EL ARTE ALMENARA;Bares y Cafeter¡as;BAR Y CAFETERIA;01/02/2025;12/05/2026;6;36;-30;36;MDLZ BB MILKA N2 20X90ML;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401180260;LELIS TODO 0,60 EUROS;30606;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;26/02/2004;07/05/2026;28;29;-1;29;PIRL COOL LIMON N3 24X99;MAXIBON CHSCAKE 24X140ML ;MAXIBON WAFFLE N2 24X140;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401231343;FRUTAS V;32070;;;Varios;VARIOS/OTROS NO CLASIFICABLES;19/02/2018;25/04/2026;11;13;-2;13;MDLZ MNBITCUP OREO 12x105;MDLZ BB MILKA N2 20X90ML;NUII TEXPECAN N1 20X90;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;401313510;RESTAURANTE RINCON DEL RE;8704;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;24/05/2021;21/04/2026;17;19;-2;19;PIRULO MANGO 36x70ML;NUII CRM AUSTRAL.N4 20X90;NUII TEXPECAN N1 20X90;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401285455;MERENDERO TIO PEPE;32433;000015725;HELADERIA CAPRICHOSA;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;03/02/2020;09/05/2026;35;36;-1;36;EXTREME NATA N2 16X110ML;PIRULO FRUIT JOY 24X65ML;EXTR LM CHESCK 16x110ML;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;866015086;KIOSCO BAKERIN;8778;000017850;CAMPING SIERRA DE MARIA;Bares y Cafeter¡as;BAR Y CAFETERIA;23/05/2006;25/07/2025;0;29;-29;29;MDLZ BBTOBLERONE N1 20X90;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401402125;KIOSCO CARMEN SEVILLA;32819;;;Impulso Tradicional;KIOSCO FIJO (NO PROPIEDAD NEST;01/03/2025;22/08/2025;0;36;-36;36;PIR COOL FRESA N3 24X99ML;EXTR FRESA NA N3 16X120ML;EXTR DOBLE CHON2 16x120ML;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401350321;HELADERIA SAN MIGUEL;8337;000017515;CHIRINGUITO MAR  RABIOSA;Ocio;HELADERIAS/HORCHATERIAS;01/03/2023;13/05/2026;28;30;-2;30;PIRULO MANGO 36x70ML;MDLZ OREO BTOP N1 20x100;PIRL COOL LIMON N3 24X99;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;401293865;CASA DE LA CULTURA;8799;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/06/2020;12/05/2026;21;26;-5;26;NUII TEXPECAN N1 20X90;EXTR CRML SALADO 16x110ML;PIRULO MANGO 36x70ML;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401001553;PANDERIA PEREZ;1575;000006866;PANAD.PASTELERIA PEREZ;Conveniencia;PASTELERIAS/PANADERIAS/FRUTERI;30/05/2012;29/04/2026;14;15;-1;15;MAXIBON CHSCAKE 24X140ML ;PIRULO MANGO 36x70ML;NUII TEXPECAN N1 20X90;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;401269307;KIOSCO LA BAHIA;9263;;;Impulso Tradicional;KIOSCO FIJO (NO PROPIEDAD NEST;06/05/2019;08/05/2026;28;31;-3;31;MAXIBON CHSCAKE 24X140ML ;PIRULO MANGO 36x70ML;NUII CRM AUSTRAL.N4 20X90;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401389309;CAMPING PALOMARES TAIGA;10022;;;Ocio;CAMPING/PISCINAS/POLIDEPORTIVO;01/07/2024;08/10/2025;0;17;-17;17;NUII ALM.JAVA N5 20X90;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;866015099;HOGAR 3¦ EDAD MARIA;8525;;;Bares y Cafeter¡as;BAR Y CAFETERIA;03/07/2002;29/08/2025;0;29;-29;29;EXTR VAINILLA N4 16x120ML;MDLZ MNBITCUP OREO 12x105;MDLZ BBTOBLERONE N1 20X90;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401180396;TABERNA EL PUENTE;30038;;;Bares y Cafeter¡as;BAR Y CAFETERIA;15/03/2007;07/05/2026;35;36;-1;36;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;PIRULO FRUIT JOY 24X65ML;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;866012646;ESTACION DE SERV,VILLASOL;2646;8660149;DEGESCO, S.L.;Conveniencia;ESTACIONES DE SERVICIO / GASOL;25/03/2003;07/04/2026;17;19;-2;19;MAXIBON CHSCAKE 24X140ML ;MAXIBON WAFFLE N2 24X140;PIRULO MANGO 36x70ML;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;866014313;MAR SERENA, KIOSCO;8348;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;18/01/1998;12/05/2026;29;36;-7;36;MAXIBON WAFFLE N2 24X140;PIRULO MANGO 36x70ML;NUII TEXPECAN N1 20X90;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401232746;CUEVAS DE SORBAS;30955;;;Bares y Cafeter¡as;BAR Y CAFETERIA;08/03/2018;23/04/2026;29;36;-7;36;MAXIBON WAFFLE N2 24X140;PIRULO MANGO 36x70ML;BOKA ZAS NATA N4 24x100ML;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;866010215;ESTACION DE SERV.EUROPA;215;8660149;DEGESCO, S.L.;Conveniencia;ESTACIONES DE SERVICIO / GASOL;30/04/1999;17/04/2026;24;27;-3;27;MDLZ BBTOBLERONE N1 20X90;PIRULO MANGO 36x70ML;MAXIBON COOKIE N5 24x150;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401376685;BAR CABRERA;5877;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/02/2024;03/03/2026;0;25;-25;25;MDLZ SNDW OREO 24X110;CHOCOCLACK N2 24x90ML;MAXIBON COOKIE N5 24x150;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180498;BAR MOLINERO;30110;;;Bares y Cafeter¡as;BAR Y CAFETERIA;18/05/2009;07/05/2026;13;17;-4;17;EXTR DOBLE CHON2 16x120ML;PIRL COOL LIMON N3 24X99;EXTR VAINILLA N4 16x120ML;
