Periodo Hasta AA-Actual;C.Ofi;Oficina Venta;C.Prev;Preventa;Cod.Cliente;Nombre Comercial;Cod.Interno;Cod.Cad;Cadena;Agrupacion;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Cuo.Anual Helados;VtaBru.Cum Actual;VtaBru.Cum Anterior;Desviacion _;Desviacion %;VtaBru.Tot Anterior;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;866010656;COSTA COSTA HOTEL;7973;8660158;HERMANOS COSTA;Hoteles y Hostales;HOTELES Y HOSTALES;25/11/1999;28/04/2026;2620,61;493,15;924,39;-431,24;46,65;2561,69;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;866011091;BOCATERIA ¥AMPA ZAMPA;1091;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;20/04/2005;13/05/2026;6007,99;2537,82;2851,83;-314,01;11,01;5872,91;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;866011106;MESON PEPA;7939;8660159;MESON PEPA Y GALDEANO, S.;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/01/1998;13/05/2026;18987,94;4366,57;5294,01;-927,44;17,52;18561,04;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;866011236;JARDINES DE LORCA, HOTEL;1236;000015244;QUANTUM ASOCIADOS;Hoteles y Hostales;HOTELES Y HOSTALES;01/01/1998;12/05/2026;15693,22;5642,77;6008,49;-365,72;6,09;15340,39;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;866011509;BAR CASINO;10176;;;Bares y Cafeter¡as;BAR Y CAFETERIA;24/01/2006;21/04/2026;1272,51;24,61;288,79;-264,18;91,48;1243,90;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;866012215;EL BOCADILLON;5404;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/01/1998;01/05/2026;4763,39;1465,96;1871,25;-405,29;21,66;4656,30;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;866012914;PINAR LA DE  ALFAHUARA;7480;000017850;CAMPING SIERRA DE MARIA;Ocio;CAMPING/PISCINAS/POLIDEPORTIVO;25/06/2003;31/03/2026;6953,58;1555,32;1830,37;-275,05;15,03;6797,24;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;866015013;ESTACION SERV.GUADALENTIN;10416;8660149;DEGESCO, S.L.;Conveniencia;ESTACIONES DE SERVICIO / GASOL;03/05/2004;17/09/2025;2162,53;0,00;779,52;-779,52;100,00;2113,91;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;866015036;LA PIZZA CAMPING;5036;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;28/02/1998;08/05/2026;13625,39;3737,56;4026,61;-289,05;7,18;13319,05;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;866015086;KIOSCO BAKERIN;8778;000017850;CAMPING SIERRA DE MARIA;Bares y Cafeter¡as;BAR Y CAFETERIA;23/05/2006;25/07/2025;1555,30;0,00;1062,31;-1062,31;100,00;1520,33;
