Periodo Hasta AA-Actual;C.Ofi;Oficina Venta;C.Prev;Preventa;Cod.Cliente;Nombre Comercial;Cod.Interno;Cod.Cad;Cadena;Agrupacion;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Msg.Marketing;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401378048;CHIRINGUITO PACO'S;30021;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;01/03/2024;08/05/2026;PRD PR2025 14+5 (07/02/2025);
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401348758;PUB TUDELA;32506;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/02/2023;03/04/2025;PRD PR2025 14+5 (03/04/2025);
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401404553;CENTRO MAYORES LA GLORIA;32840;;;Varios;VARIOS/OTROS NO CLASIFICABLES;01/04/2025;24/05/2025;PRD PR2025 14+4 (17/04/2025);
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;866012914;PINAR LA DE  ALFAHUARA;7480;000017850;CAMPING SIERRA DE MARIA;Ocio;CAMPING/PISCINAS/POLIDEPORTIVO;25/06/2003;31/03/2026;PRD PR2025 22+6 (11/04/2025);
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180701;TIENDA PASEO LOS BA¥OS;31825;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;11/02/2013;12/05/2026;PRD PR2025 14+5 (26/03/2025);
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401376873;SUPERMERCADO SAN JUAN 5;32675;;;Hogar;SUPERMERCADOS CON 2 O MAS CAJA;01/02/2024;16/09/2025;PRD PR2025 18+6 (11/03/2025);
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401400116;KEBAB RICO;9627;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/02/2025;27/02/2025;PRD PR2025 18+6 (24/02/2025);
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401278072;BAR LA 3¦ EDAD;32740;;;Bares y Cafeter¡as;BAR Y CAFETERIA;02/09/2019;09/04/2026;PRD PR2025 14+4 (17/04/2025);
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401180842;BAR LOS PINOS;30298;;;Bares y Cafeter¡as;BAR Y CAFETERIA;15/04/2014;31/03/2026;PRD PR2025 14+4 (30/04/2025);
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401402236;TERRAZA BAR ALSODUX;32823;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/03/2025;05/03/2026;PRD PR2025 14+5 (03/04/2025);
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401363453;HAO HAO BAZAR ALIMENTACIO;8371;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;17/07/2023;25/04/2026;PRD PR2025 14+4 (17/04/2025);
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401402726;CAFETERIA VERACRUZ;32825;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/03/2025;05/06/2025;PRD PR2025 14+5 (03/04/2025);
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401401133;COMERCIO DAMNOUN;32775;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;01/03/2025;14/08/2025;PRD PR2025 14+5 (27/03/2025);
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401401741;24 HORAS NOVA II;32816;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/03/2025;27/03/2025;PRD PR2025 14+5 (27/03/2025);
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;866015099;HOGAR 3¦ EDAD MARIA;8525;;;Bares y Cafeter¡as;BAR Y CAFETERIA;03/07/2002;29/08/2025;PRD PR2025 22+7 (28/02/2025);
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401376685;BAR CABRERA;5877;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/02/2024;03/03/2026;PRD PR2025 18+6 (12/02/2025);
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401080515;E.S. LA CAMPANA;9660;8660194;ESTACION DE SERV.MUNUERA;Conveniencia;ESTACIONES DE SERVICIO / GASOL;11/04/2014;02/05/2025;PRD PR2025 14+5 (27/03/2025);
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401405735;CAFE BAR LA BRISA;32846;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/04/2025;30/04/2025;PRD PR2025 14+4 (30/04/2025);
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401377885;TRADY`S LORCA;5970;;;Bares y Cafeter¡as;BAR Y CAFETERIA;26/02/2024;09/05/2026;PRD PR2025 14+5 (20/03/2025);
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401246921;SUPERMERCADO LI;31669;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;25/07/2018;29/08/2025;PRD PR2025 14+4 (30/04/2025);
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401338632;PAK DONER KEBAB;8959;;;Bares y Cafeter¡as;HAMBURGUESERIA/KEBAB/FAST FOOD;01/07/2022;24/07/2025;PRD PR2025 18+6 (27/02/2025);
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401351610;LAGO DEL MESON;8994;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/03/2023;08/08/2025;PRD PR2025 22+7 (14/02/2025);
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401275376;FRUTERIA ROMERA;31847;;;Varios;VARIOS/OTROS NO CLASIFICABLES;01/07/2019;14/08/2025;PRD PR2025 14+4 (10/04/2025);
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401403410;PKO 24 HORAS INFIERNO;32762;000015235;PKO 24 HORAS;Conveniencia;PASTELERIAS/PANADERIAS/FRUTERI;01/04/2025;21/04/2026;PRD PR2025 14+5 (03/04/2025);
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401198136;LA TAPERIA;32745;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/03/2017;01/04/2025;PRD PR2025 22+7 (01/04/2025);
