path,size,mtime,header,db2_write,guard_bypass,clase,justificacion,proposed_path
backend/scripts/_append-comercial-hit-sample.js,n/a,n/a,header-no-leido;_scratch-hit,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored (.gitignore:198); hit comercial un solo uso,archive/oneoff/_append-comercial-hit-sample.js
backend/scripts/_append-test-cac-pag.js,n/a,n/a,header-no-leido;_scratch-append,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; append puntual test CAC/PAG,archive/oneoff/_append-test-cac-pag.js
backend/scripts/_append-test-hit-scope.js,n/a,n/a,header-no-leido;_scratch-append,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; append puntual alcance hit,archive/oneoff/_append-test-hit-scope.js
backend/scripts/_apply_039_notifications.js,n/a,n/a,header-no-leido;_scratch-apply-039,YES,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; aplicacion puntual migracion 039 notificaciones,archive/oneoff/_apply_039_notifications.js
backend/scripts/_backfill_test_ingresos_created_at.js,n/a,n/a,header-no-leido;_scratch-backfill,YES,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; backfill puntual TEST ingresos created_at,archive/oneoff/_backfill_test_ingresos_created_at.js
backend/scripts/_bolsa-mov-probe.js,n/a,n/a,header-no-leido;_scratch-probe,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual movimientos bolsa,archive/oneoff/_bolsa-mov-probe.js
backend/scripts/_bootstrap_missing_test_objects.js,n/a,n/a,header-no-leido;_scratch-bootstrap,YES,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; bootstrap puntual objetos test faltantes,archive/oneoff/_bootstrap_missing_test_objects.js
backend/scripts/_cert_field_gaps.js,n/a,n/a,header-no-leido;_scratch-cert,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; gaps campos certificacion puntual,archive/oneoff/_cert_field_gaps.js
backend/scripts/_check_test_tables.js,n/a,n/a,header-no-leido;_scratch-check,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; check puntual tablas test,archive/oneoff/_check_test_tables.js
backend/scripts/_count-test-after-hit.js,n/a,n/a,header-no-leido;_scratch-count,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; conteo puntual post-hit,archive/oneoff/_count-test-after-hit.js
backend/scripts/_create_rutero_orden_test_table.js,n/a,n/a,header-no-leido;_scratch-ddl,YES,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; DDL puntual tabla test rutero orden,archive/oneoff/_create_rutero_orden_test_table.js
backend/scripts/_e2e_align_test_cobros_ledger.js,n/a,n/a,header-no-leido;_scratch-e2e,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; e2e puntual ledger cobros test,archive/oneoff/_e2e_align_test_cobros_ledger.js
backend/scripts/_e2e_diego98_reparto_probe.js,n/a,n/a,header-no-leido;_scratch-e2e,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; e2e puntual probe diego98,archive/oneoff/_e2e_diego98_reparto_probe.js
backend/scripts/_e2e_dual_jwt_reparto.js,n/a,n/a,header-no-leido;_scratch-e2e,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; e2e puntual dual JWT,archive/oneoff/_e2e_dual_jwt_reparto.js
backend/scripts/_e2e_extra_tabs.js,n/a,n/a,header-no-leido;_scratch-e2e,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; e2e puntual tabs extra,archive/oneoff/_e2e_extra_tabs.js
backend/scripts/_e2e_history_signature_probe.js,n/a,n/a,header-no-leido;_scratch-e2e,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; e2e puntual firma historico,archive/oneoff/_e2e_history_signature_probe.js
backend/scripts/_e2e_hist_retry.js,n/a,n/a,header-no-leido;_scratch-e2e,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; e2e puntual reintento historico,archive/oneoff/_e2e_hist_retry.js
backend/scripts/_e2e_inspect_evidencias.js,n/a,n/a,header-no-leido;_scratch-e2e,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; inspeccion puntual evidencias,archive/oneoff/_e2e_inspect_evidencias.js
backend/scripts/_e2e_inspect_reparto_schema.js,n/a,n/a,header-no-leido;_scratch-e2e,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; inspeccion puntual schema reparto,archive/oneoff/_e2e_inspect_reparto_schema.js
