path,bytes,tracked,protected,category
.editorconfig,351,True,False,configuration-or-agent
.fvmrc,23,True,False,configuration-or-agent
.gitignore,6369,True,False,configuration-or-agent
.gitleaks.toml,703,True,False,configuration-or-agent
.metadata,1706,True,False,configuration-or-agent
.nvmrc,4,True,False,configuration-or-agent
.openclawignore,402,True,False,configuration-or-agent
.pre-commit-config.yaml,108,True,False,configuration-or-agent
.prettierignore,305,True,False,configuration-or-agent
.prettierrc,145,True,False,configuration-or-agent
.spectral.yaml,365,True,False,configuration-or-agent
AGENTS.md,13061,True,False,configuration-or-agent
analysis_options.yaml,2139,True,False,configuration-or-agent
CLAUDE.md,3250,True,False,configuration-or-agent
CODEOWNERS,458,True,False,configuration-or-agent
commitlint.config.js,676,True,False,configuration-or-agent
devtools_options.yaml,184,True,False,configuration-or-agent
docker-compose.yml,3430,True,False,configuration-or-agent
eslint.config.js,3223,True,False,configuration-or-agent
Iniciar_Equipo.cmd,958,True,False,configuration-or-agent
Makefile,5698,True,False,configuration-or-agent
package-lock.json,122023,True,False,configuration-or-agent
package.json,1307,True,False,configuration-or-agent
pubspec.lock,61201,True,False,configuration-or-agent
pubspec.yaml,3039,True,False,configuration-or-agent
README.md,5763,True,False,configuration-or-agent
skills-lock.json,1660,True,False,configuration-or-agent
.agent/nhallucinate/lessons-learned.md,358,True,False,configuration-or-agent
.agent/nhallucinate/memory.md,0,True,False,configuration-or-agent
.agents/skills/caveman/SKILL.md,3719,True,False,configuration-or-agent
.agents/skills/caveman-commit/SKILL.md,2545,True,False,configuration-or-agent
.agents/skills/caveman-compress/README.md,5365,True,False,configuration-or-agent
.agents/skills/caveman-compress/SECURITY.md,1588,True,False,configuration-or-agent
.agents/skills/caveman-compress/SKILL.md,4618,True,False,configuration-or-agent
.agents/skills/caveman-compress/scripts/benchmark.py,2342,True,False,configuration-or-agent
.agents/skills/caveman-compress/scripts/cli.py,1664,True,False,configuration-or-agent
.agents/skills/caveman-compress/scripts/compress.py,7759,True,False,configuration-or-agent
.agents/skills/caveman-compress/scripts/detect.py,4159,True,False,configuration-or-agent
.agents/skills/caveman-compress/scripts/validate.py,5010,True,False,configuration-or-agent
.agents/skills/caveman-compress/scripts/__init__.py,233,True,False,configuration-or-agent
.agents/skills/caveman-compress/scripts/__main__.py,33,True,False,configuration-or-agent
.agents/skills/caveman-help/SKILL.md,2104,True,False,configuration-or-agent
.agents/skills/caveman-review/SKILL.md,2793,True,False,configuration-or-agent
.agents/skills/openspec-apply-change/SKILL.md,4930,True,False,configuration-or-agent
.agents/skills/openspec-archive-change/SKILL.md,4271,True,False,configuration-or-agent
.agents/skills/openspec-explore/SKILL.md,11026,True,False,configuration-or-agent
.agents/skills/openspec-propose/SKILL.md,4756,True,False,configuration-or-agent
.agents/skills/source-command-opsx-apply/SKILL.md,4841,True,False,configuration-or-agent
.agents/skills/source-command-opsx-archive/SKILL.md,5271,True,False,configuration-or-agent
.agents/skills/source-command-opsx-explore/SKILL.md,7020,True,False,configuration-or-agent
.agents/skills/source-command-opsx-propose/SKILL.md,4621,True,False,configuration-or-agent
.beads/.gitignore,1685,True,False,configuration-or-agent
.beads/config.yaml,2309,True,False,configuration-or-agent
.beads/interactions.jsonl,20237,True,False,configuration-or-agent
.beads/issues.jsonl,85057,True,False,configuration-or-agent
.beads/metadata.json,174,True,False,configuration-or-agent
.beads/README.md,2334,True,False,configuration-or-agent
.beads/hooks/post-checkout,862,True,False,configuration-or-agent
.beads/hooks/post-merge,850,True,False,configuration-or-agent
.beads/hooks/pre-commit,5911,True,False,configuration-or-agent
.beads/hooks/pre-push,842,True,False,configuration-or-agent
.beads/hooks/prepare-commit-msg,882,True,False,configuration-or-agent
.continue/prompts/opsx-apply.prompt,4548,True,False,configuration-or-agent
.continue/prompts/opsx-archive.prompt,4969,True,False,configuration-or-agent
.continue/prompts/opsx-explore.prompt,6702,True,False,configuration-or-agent
