# ESLint baseline (codigo producto, vendor excluido)
# Generado: 2026-08-25T11:50:58.205Z

backend/src/modules                           errors=  435 warnings=  0 files=135
backend/services/pedidos.service.js           errors=  106 warnings=  0 files=1
backend/src/chatbot                           errors=  103 warnings=  0 files=9
backend/routes/objectives.js                  errors=   84 warnings=  0 files=1
backend/routes/commissions.js                 errors=   76 warnings=  0 files=1
backend/routes/repartidor.js                  errors=   72 warnings=  0 files=1
backend/routes/warehouse.js                   errors=   56 warnings=  0 files=1
backend/routes/planner.js                     errors=   53 warnings=  0 files=1
backend/__tests__/chatbot_massive_contract.test.js errors=   52 warnings=  0 files=1
backend/routes/dashboard.js                   errors=   42 warnings=  0 files=1
backend/routes/clients.js                     errors=   41 warnings=  0 files=1
backend/src/shared                            errors=   35 warnings=  0 files=2
backend/__tests__/copy-javier-prod-to-test-preflight.test.js errors=   32 warnings=  0 files=1
backend/repositories/repartidor-route-db2-repository.js errors=   32 warnings=  0 files=1
backend/repositories/reparto-finance-db2-repository.js errors=   32 warnings=  0 files=1
backend/src/core                              errors=   32 warnings=  0 files=11
backend/__tests__/commissions-pdf-service.test.js errors=   27 warnings=  0 files=1
backend/routes/entregas.js                    errors=   26 warnings=  0 files=1
backend/__tests__/repartidor-liquidacion-db2-repository.test.js errors=   24 warnings=  0 files=1
backend/__tests__/reparto-confirmation-db2-repository.test.js errors=   23 warnings=  0 files=1
backend/__tests__/reparto-variance-notification-service.test.js errors=   23 warnings=  0 files=1
backend/routes/analytics.js                   errors=   23 warnings=  0 files=1
backend/services/bolsa-comercial.service.js   errors=   20 warnings=  0 files=1
backend/app/services                          errors=   19 warnings=  0 files=3
backend/kpi/routes.js                         errors=   19 warnings=  0 files=1
backend/services/repartidor-finance-service.js errors=   18 warnings=  0 files=1
backend/__tests__/pedidos_contracts.test.js   errors=   17 warnings=  1 files=1
backend/routes/pedidos.js                     errors=   17 warnings=  0 files=1
backend/server.js                             errors=   17 warnings=  0 files=1
backend/__tests__/chatbot_coverage_intents.test.js errors=   16 warnings=  0 files=1
backend/routes/repartidor-finanzas.js         errors=   16 warnings=  0 files=1
backend/services/facturas.service.js          errors=   16 warnings=  0 files=1
backend/__tests__/cobros_route_contracts.test.js errors=   15 warnings=  0 files=1
backend/__tests__/repartidor-liquidacion-service.test.js errors=   15 warnings=  0 files=1
backend/routes/filters.js                     errors=   14 warnings=  0 files=1
backend/services/emailService.js              errors=   13 warnings=  0 files=1
scripts/opencode                              errors=   13 warnings=  0 files=6
backend/__tests__/auth-claims-session-store.test.js errors=   12 warnings=  0 files=1
backend/__tests__/middleware                  errors=   12 warnings=  0 files=2
backend/__tests__/cobros-commercial.test.js   errors=   11 warnings=  0 files=1
backend/config/db.js                          errors=   11 warnings=  0 files=1
backend/__tests__/ddd_route_contracts.test.js errors=    9 warnings=  0 files=1
backend/__tests__/reparto-confirmation-service.test.js errors=    9 warnings=  0 files=1
backend/__tests__/reparto-evidence-db2-repository.test.js errors=    9 warnings=  0 files=1
backend/kpi/services                          errors=    9 warnings=  0 files=9
